"","city_ibge_code","lat","long"
"473",4102307,-25.5804,-49.6291
"474",3504800,-20.7348,-49.5865
"475",2101400,-7.53214,-46.0372
"476",3105103,-20.0166,-45.9754
"477",2301851,-5.30454,-38.9132
"478",3504909,-22.6819,-44.3281
"479",2501500,-6.74775,-35.6246
"480",3105202,-15.8783,-40.5622
"481",3105301,-21.7308,-46.3833
"482",4202081,-26.7705,-53.6413
"483",5001508,-19.9275,-54.3585
"484",4102406,-23.1078,-50.3704
"485",1703057,-7.75612,-48.5836
"486",1501253,-7.34779,-50.3959
"487",2902658,-10.5788,-38.6212
"488",4301651,-29.3725,-51.4949
"489",3505005,-23.6284,-49.5634
"490",3105400,-19.9389,-43.4755
"491",4301701,-27.6208,-52.3798
"492",2101509,-6.74463,-43.0261
"493",5101605,-16.2067,-55.9623
"494",3105509,-21.2444,-42.2372
"495",4301750,-30.3891,-51.7384
"496",2401453,-5.06977,-37.6129
"497",2501534,-6.63484,-36.2601
"498",3105608,-21.2214,-43.7703
"499",2301901,-7.2982,-39.3021
"500",3505104,-21.2657,-49.9518
"501",4102505,-24.0334,-52.004
"502",1501303,-1.51187,-48.6195
"503",2401503,-5.94284,-35.9247
"504",1300409,-0.983373,-62.9311
"505",3505203,-22.073,-48.7438
"506",2902708,-11.0859,-43.1459
"507",4202099,-26.654,-53.44
"508",3505302,-22.4909,-48.5583
"509",2201176,-6.51645,-42.1146
"510",2902807,-13.6237,-41.3347
"511",2601300,-8.42075,-35.6585
"512",2501609,-6.71816,-36.0671
"513",2501575,-7.51809,-35.9913
"514",2700508,-9.4023,-35.5101
"515",3200904,-18.7548,-40.8965
"516",2501708,-7.74603,-36.3209
"517",2700607,-9.83842,-35.9057
"518",5101704,-15.0702,-57.1878
"519",3505351,-24.4722,-49.0238
"520",2902906,-14.8654,-40.5791
"521",2101608,-5.49682,-45.2485
"522",5101803,-15.8804,-52.264
"523",4301859,-27.1927,-53.7109
"524",4102703,-23.116,-50.1842
"525",2903003,-11.81,-42.059
"526",1703073,-7.69593,-47.6776
"527",3300308,-22.4715,-43.8269
"528",4301875,-30.2029,-57.5497
"529",4301909,-30.2939,-51.3014
"530",4301925,-27.4069,-52.4084
"531",2903102,-14.2,-39.5991
"532",3505401,-24.759,-48.5013
"533",2800605,-10.8996,-37.0323
"534",4301958,-27.9205,-53.0391
"535",3105707,-20.2869,-43.0402
"536",3300407,-22.5481,-44.1752
"537",4202107,-26.637,-48.6933
"538",4301800,-27.6739,-51.4585
"539",4102604,-26.2502,-53.6324
"540",2201200,-4.24468,-42.2922
"541",2301950,-4.28921,-38.6429
"542",2903201,-12.1439,-44.9968
"543",2201309,-9.9296,-45.4702
"544",1300508,-2.79886,-57.0679
"545",2101707,-2.75863,-42.8232
"546",2601409,-8.81605,-35.1832
"547",3505500,-20.5531,-48.5698
"548",3505609,-21.1864,-48.1636
"549",2302008,-7.17188,-38.7741
"550",2903235,-11.7605,-41.9054
"551",5203203,-14.9658,-48.9086
"552",2201408,-5.81673,-42.5147
"553",2903300,-14.7948,-39.476
"554",2903276,-11.5272,-39.0776
"555",1703107,-9.83404,-48.7252
"556",2302057,-3.02051,-41.1358
"557",4302006,-29.0947,-52.5836
"558",3105905,-21.1907,-43.972
"559",3505708,-23.5057,-46.879
"560",3505807,-21.921,-50.7357
"561",5001904,-21.7159,-52.4221
"562",2201507,-4.0223,-42.0787
"563",2700706,-9.6742,-37.133
"564",3505906,-20.8929,-47.5921
"565",5002001,-22.2944,-53.2705
"566",2302107,-4.32598,-38.8812
"567",3506003,-22.3246,-49.0871
"568",2501807,-7.1238,-34.9293
"569",3506102,-20.9491,-48.4791
"570",2302206,-4.17741,-38.1271
"571",2302305,-3.04996,-40.1671
"572",5002100,-22.1073,-56.5263
"573",4102752,-25.8842,-53.6725
"574",5203302,-16.9693,-48.9513
"575",3106002,-19.8302,-43.0922
"576",2101772,-3.72618,-45.3075
"577",4102802,-22.9937,-51.1927
"578",2201556,-7.98809,-41.8675
"579",4202131,-26.2746,-50.4664
"580",2101731,-3.15485,-43.5122
"581",1501402,-1.4554,-48.4898
"582",2501906,-6.74261,-35.5166
"583",2700805,-9.57047,-36.4904
"584",2601508,-8.62504,-35.8335
"585",2502003,-6.18515,-37.5348
"586",2201572,-7.36652,-40.9688
"587",2601607,-8.75046,-38.9623
"588",3300456,-22.764,-43.3992
"589",3106101,-21.944,-43.4084
"590",4202156,-26.843,-53.5758
"591",2903409,-15.8608,-38.8758
"592",2903508,-15.0334,-41.2652
"593",3106200,-19.9102,-43.9266
"594",2601706,-8.3313,-36.4258
"595",2700904,-9.82272,-37.277
"596",3106309,-19.2199,-42.4828
